5;.jpg;3:38:00;;5;.jpg;4:26:00;;5;.jpg;11:28:00;;3;.jpg;12:16:00;;3;.jpg;13:04:00;;3;.jpg;13:52:00;;4;.jpg;14:40:00
5;.png;3:42:00;;5;.png;4:30:00;;5;.png;11:32:00;;3;.png;12:20:00;;3;.png;13:08:00;;3;.png;13:56:00;;4;.png;14:44:00
0;.jpg;3:46:00;;0;.jpg;4:34:00;;0;.jpg;11:36:00;;4;.jpg;12:24:00;;4;.jpg;13:12:00;;4;.jpg;14:00:00;;5;.jpg;14:48:00
0;.png;3:50:00;;0;.png;4:38:00;;0;.png;11:40:00;;4;.png;12:28:00;;4;.png;13:16:00;;4;.png;14:04:00;;5;.png;14:52:00
1;.jpg;3:54:00;;1;.jpg;4:42:00;;1;.jpg;11:44:00;;5;.jpg;12:32:00;;5;.jpg;13:20:00;;5;.jpg;14:08:00;;0;.jpg;14:56:00
1;.png;3:58:00;;1;.png;4:46:00;;1;.png;11:48:00;;5;.png;12:36:00;;5;.png;13:24:00;;5;.png;14:12:00;;0;.png;15:00:00
2;.jpg;4:02:00;;2;.jpg;4:50:00;;2;.jpg;11:52:00;;0;.jpg;12:40:00;;0;.jpg;13:28:00;;0;.jpg;14:16:00;;1;.jpg;15:04:00
2;.png;4:06:00;;2;.png;4:54:00;;2;.png;11:56:00;;0;.png;12:44:00;;0;.png;13:32:00;;0;.png;14:20:00;;1;.png;15:08:00
3;.jpg;4:10:00;;3;.jpg;4:58:00;;3;.jpg;12:00:00;;1;.jpg;12:48:00;;1;.jpg;13:36:00;;1;.jpg;14:24:00;;2;.jpg;15:12:00
3;.png;4:14:00;;3;.png;5:02:00;;3;.png;12:04:00;;1;.png;12:52:00;;1;.png;13:40:00;;1;.png;14:28:00;;2;.png;15:16:00
4;.jpg;4:18:00;;4;.jpg;11:20:00;;4;.jpg;12:08:00;;2;.jpg;12:56:00;;2;.jpg;13:44:00;;2;.jpg;14:32:00;;3;.jpg;15:20:00
4;.png;4:22:00;;4;.png;11:24:00;;4;.png;12:12:00;;2;.png;13:00:00;;2;.png;13:48:00;;2;.png;14:36:00;;3;.png;15:24:00
